"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"Chiaretto Spumante Brut N.V.","Italy","Bardolino","Zeni",3.5,37,12.9,"N.V.","Sparkling"
"Ocarosa Frizzanate Rosato N.V.","Italy","Veneto","Val d'Oca",3.6,37,4.9,"N.V.","Sparkling"
"Cuvée Marie-Luise Brut 2013","Germany","Rheinhessen","Raumland",3.8,38,17.55,"2013","Sparkling"
"La Croisette Brut Champagne 2014","France","Champagne","Leclerc Briant",4.3,38,145.7,"2014","Sparkling"
"Privat Trocken N.V.","Germany","Rheingau","Ohlig Sekt",3.7,38,6.81,"N.V.","Sparkling"
"Brut Nature N.V.","Germany","Nahe","Korrell",4.2,38,17.9,"N.V.","Sparkling"
"Crémant d'Alsace Brut N.V.","France","Crémant d'Alsace","Edouard Leiber",3.8,38,9.9,"N.V.","Sparkling"
"Leonardo Trocken Pinot Rosé N.V.","Germany","Baden","Haltinger Winzer",3.8,39,8.95,"N.V.","Sparkling"
"Vintage Rosé Brut Champagne 2012","France","Champagne","Veuve Clicquot",4.2,39,78.49,"2012","Sparkling"
"Cristal Rosé Brut Champagne (Millésimé) 2012","France","Champagne","Louis Roederer",4.7,39,449.9,"2012","Sparkling"
"Valdobbiadene Prosecco Superiore Brut Dosaggio Zero 2018","Italy","Conegliano-Valdobbiadene Prosecco","Col Vetoraz",3.5,39,14.9,"2018","Sparkling"
"Graphic Ice Champagne N.V.","France","Champagne","Nicolas Feuillatte",3.5,40,39,"N.V.","Sparkling"
"Reserve Rosé Champagne 2005","France","Champagne","Charles Heidsieck",4.2,40,109.92,"2005","Sparkling"
"Brut Champagne 2010","France","Champagne","Barons de Rothschild (Lafite)",4.3,41,75.95,"2010","Sparkling"
"Inspiration de Saison Extra Brut Champagne 2010","France","Champagne","Michel Loriot",3.9,41,37.64,"2010","Sparkling"
"Rosa Regale 2019","Italy","Brachetto d'Acqui","Banfi",4,42,7.6,"2019","Sparkling"
"Prosecco Valdobbiadene Rive di Refrontolo Superiore Brut 2018","Italy","Conegliano-Valdobbiadene Prosecco","Santa Margherita",3.8,42,16.07,"2018","Sparkling"
"Franciacorta Rosé 2013","Italy","Franciacorta","Bellavista",3.9,43,57.61,"2013","Sparkling"
"Pinot Rosé Brut N.V.","Germany","Pfalz","Eymann",3.5,43,16.9,"N.V.","Sparkling"
"Athesis Brut Rosé 2016","Italy","Südtirol - Alto Adige","Kettmeir",3.9,43,23.11,"2016","Sparkling"
"Il Vino dei Poeti Gold 2018","Italy","Prosecco","Bottega",3.9,43,19.4,"2018","Sparkling"
"Elixir Dry Champagne N.V.","France","Champagne","Pommery",3.7,43,41.39,"N.V.","Sparkling"
"Frizzantino Dolce N.V.","Italy","Emilia","Gualtieri",4.2,43,3.15,"N.V.","Sparkling"
"Millesimato Extra Dry Prosecco 2017","Italy","Prosecco","Paladin",3.7,43,11.36,"2017","Sparkling"
"Brut Rosé Aÿ Champagne N.V.","France","Champagne","Pierre Leboeuf",3.8,44,33.95,"N.V.","Sparkling"
"Crémant du Jura Brut Rosé N.V.","France","Crémant du Jura","Tissot-Maire",4,45,12.9,"N.V.","Sparkling"
"Trentasei 2014","Italy","Modena","Cantina della Volta",3.8,45,24.4,"2014","Sparkling"
"Somnam’Bulles 2017","France","Vin de France","Mas del Périé - Fabien Jouves",3.8,46,13.9,"2017","Sparkling"
"Brut Methode Cap Classique N.V.","South Africa","Constantia","Buitenverwachting",3.8,46,14.5,"N.V.","Sparkling"
"Brut Nature N.V.","Germany","Pfalz","Leiner",4.2,46,25,"N.V.","Sparkling"
"Authentique Rosé Brut Champagne N.V.","France","Champagne","Le Brun de Neuville",4.1,46,40,"N.V.","Sparkling"
"Trento Brut Millesimato N.V.","Italy","Trento","Endrizzi",3.7,47,16.7,"N.V.","Sparkling"
"Prosecco Treviso Millesimato Extra Dry 2018","Italy","Prosecco di Treviso","Sanmartino",3.9,47,10.5,"2018","Sparkling"
"Riesling Brut N.V.","Germany","Pfalz","Koehler-Ruprecht",3.8,47,35.41,"N.V.","Sparkling"
"Carte Rosé Brut Champagne N.V.","France","Champagne","Irroy",3.7,47,39.95,"N.V.","Sparkling"
"Crémant de Loire Brut N.V.","France","Crémant de Loire","Chapin & Landais",4,47,10.86,"N.V.","Sparkling"
"Cava Reserva Semi Seco N.V.","Spain","Cava","Segura Viudas",3.5,47,11.83,"N.V.","Sparkling"
"Cremant d'Alsace Reserve de l'Abbaye Chardonnay N.V.","France","Crémant d'Alsace","Arthur Metz",3.9,48,14.09,"N.V.","Sparkling"
"Cuvée Vaux Brut 2016","Germany","Rheingau","Schloss Vaux",3.9,48,11.62,"2016","Sparkling"
"Millesimé Carte d'Or Brut Champagne Premier Cru 2010","France","Champagne Premier Cru","Henriet-Bazin",3.9,48,39.95,"2010","Sparkling"
"Ultra N.V.","Germany","Rheingau","Barth",4.3,48,31.53,"N.V.","Sparkling"
"Auris Brut N.V.","Italy","Veneto","Villa Sandi",3.8,48,17.5,"N.V.","Sparkling"
"Cava Reyes de Aragón Reserva Brut Nature N.V.","Spain","Calatayud","Bodegas Langa",3.5,49,14.9,"N.V.","Sparkling"
"Crémant de Loire Brut N.V.","France","Crémant de Loire","Louis Despas & Cie",3.6,49,14.32,"N.V.","Sparkling"
"Crémant de Bourgogne Brut N.V.","France","Crémant de Bourgogne","Château de la Greffière",3.7,49,17.76,"N.V.","Sparkling"
"Millesimé Extra Brut Champagne 2013","France","Champagne","Leclerc Briant",4.3,50,60.2,"2013","Sparkling"
"Crémant de Limoux Rosé Brut N.V.","France","Crémant de Limoux","La Louvière",4.2,51,20.19,"N.V.","Sparkling"
"Extra Brut Champagne N.V.","France","Champagne","Louis Casters",4.1,51,42.9,"N.V.","Sparkling"
"Les Hauts des Clos du Mont Brut Champagne N.V.","France","Champagne","Fallet Dart",4.2,51,66,"N.V.","Sparkling"
"Brut Opere Rosé N.V.","Italy","Veneto","Villa Sandi",3.6,52,14.5,"N.V.","Sparkling"
"Brut Rosé 2015","South Africa","Franschhoek","L'Ormarins",3.7,52,16.93,"2015","Sparkling"
"Rosé Brut N.V.","Italy","Piemonte","Tenuta San Pietro",3.7,52,20.43,"N.V.","Sparkling"
"Cuvée Marie Ambal Crémant de Bourgogne Rosé N.V.","France","Crémant de Bourgogne","Veuve Ambal",3.8,52,23.95,"N.V.","Sparkling"
"Conegliano Valdobbiadene Prosecco N.V.","Italy","Conegliano-Valdobbiadene Prosecco","Le Manzane",3.8,53,7.99,"N.V.","Sparkling"
"La Petite Bulle Brut Rosé N.V.","France","Saumur","Bouvet-Ladubay",3.6,53,6.95,"N.V.","Sparkling"
"Noces de Craie Champagne Grand Cru 'Aÿ' 2015","France","Champagne Grand Cru 'Aÿ'","Marc Hébrart",4.4,53,65,"2015","Sparkling"
"Marca Trevigiana Rosé N.V.","Italy","Marca Trevigiana","Le Contesse",3.7,53,4.7,"N.V.","Sparkling"
"Pinot Blanc Brut N.V.","Austria","Niederösterreich","Szigeti",3.6,54,14.16,"N.V.","Sparkling"
"Rosé Brut N.V.","Italy","Veneto","Sacchetto",3.5,54,10.54,"N.V.","Sparkling"
"Brut Champagne N.V.","France","Champagne","Champagne du Rédempteur",3.8,54,31.9,"N.V.","Sparkling"
"Muskat Ottonel Extra Dry N.V.","Austria","Burgenland","Szigeti",3.9,54,13.2,"N.V.","Sparkling"
"Spumante Extra Brut 2015","Italy","Piemonte","Bruno Giacosa",3.6,55,27.06,"2015","Sparkling"
"L'Ermitage Brut Rosé 2006","United States","Anderson Valley","Roederer Estate",4.2,55,66.9,"2006","Sparkling"
"'La Picia' Bardolino Chiaretto Spumante Extra Dry N.V.","Italy","Bardolino","Monte del Frá",3.6,55,10.5,"N.V.","Sparkling"
"Brut Rosé Champagne N.V.","France","Champagne","Comtesse Lafond",4.3,56,51.9,"N.V.","Sparkling"
"Riesling Sekt Brut N.V.","Germany","Rheingau","Weingüter Wegeler",3.7,56,14.2,"N.V.","Sparkling"
"Rosé Brut Champagne (Vintage) 2014","France","Champagne","Louis Roederer",4.1,56,48.64,"2014","Sparkling"
"Riesling Brut N.V.","Germany","Nahe","Emrich-Schönleber",3.8,57,16.4,"N.V.","Sparkling"
"Prosecco Superiore di Conegliano Valdobbiadene Extra Dry N.V.","Italy","Conegliano-Valdobbiadene Prosecco","Canella",3.6,57,14.39,"N.V.","Sparkling"
"Marsecco Red N.V.","Italy","delle Venezie","Castle of Dracula",3.6,57,8.86,"N.V.","Sparkling"
"Cava Organic Brut Nature 2017","Spain","Cava","Vilarnau",3.8,57,14.53,"2017","Sparkling"
"Rheingauer Réserve Riesling Brut 2014","Germany","Rheingau","Schloss Vaux",3.6,58,19,"2014","Sparkling"
"Dibon Rosado Cava N.V.","Spain","Cava","Pinord",3.5,58,7.99,"N.V.","Sparkling"
"Marc Mir Brut Nature N.V.","Spain","Catalunya","Rosell Mir",3.8,59,15.3,"N.V.","Sparkling"
"Molera Valdobbiadene Prosecco Superiore Extra Dry 2017","Italy","Conegliano-Valdobbiadene Prosecco","Bisol",3.9,59,19.98,"2017","Sparkling"
"Kaapse Vonkel Brut 2018","South Africa","Western Cape","Simonsig",3.9,59,12.18,"2018","Sparkling"
"Mont Marvin Cuvée Brut Champagne 2011","France","Champagne","Lacroix Triaulaire",4,59,42,"2011","Sparkling"
"Quartet Brut Rosé N.V.","United States","Anderson Valley","Roederer Estate",3.8,60,39.9,"N.V.","Sparkling"
